# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 0.000000e+00)
# magUInf     : 7.300000e+00
# lRef        : 3.050000e-01
# Aref        : 1.525000e-03
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	0.000000e+00	1.139040e+04	2.090832e+03	1.045416e+03	1.045416e+03
2             	0.000000e+00	7.887306e+03	2.000232e+03	1.000116e+03	1.000116e+03
3             	0.000000e+00	-9.752683e+02	9.610859e+02	4.805429e+02	4.805429e+02
4             	0.000000e+00	-6.110139e+03	5.418187e+00	2.709093e+00	2.709093e+00
5             	0.000000e+00	-4.773073e+03	-1.718165e+02	-8.590824e+01	-8.590824e+01
6             	0.000000e+00	-1.089588e+02	7.019188e+01	3.509594e+01	3.509594e+01
7             	0.000000e+00	3.178787e+03	5.061500e+02	2.530750e+02	2.530750e+02
8             	0.000000e+00	3.183101e+03	8.630798e+02	4.315399e+02	4.315399e+02
9             	0.000000e+00	9.766981e+02	8.865017e+02	4.432508e+02	4.432508e+02
10            	0.000000e+00	-1.197613e+03	6.229454e+02	3.114727e+02	3.114727e+02
11            	0.000000e+00	-1.894007e+03	2.598479e+02	1.299240e+02	1.299240e+02
12            	0.000000e+00	-1.013899e+03	6.789758e+01	3.394879e+01	3.394879e+01
13            	0.000000e+00	4.272470e+02	1.672609e+02	8.363044e+01	8.363044e+01
14            	0.000000e+00	1.279514e+03	4.624748e+02	2.312374e+02	2.312374e+02
15            	0.000000e+00	1.091654e+03	7.682404e+02	3.841202e+02	3.841202e+02
16            	0.000000e+00	2.557031e+02	9.738778e+02	4.869389e+02	4.869389e+02
17            	0.000000e+00	-5.165368e+02	9.292090e+02	4.646045e+02	4.646045e+02
18            	0.000000e+00	-6.797752e+02	6.975163e+02	3.487582e+02	3.487582e+02
19            	0.000000e+00	-2.535616e+02	4.417691e+02	2.208845e+02	2.208845e+02
20            	0.000000e+00	3.423567e+02	3.755619e+02	1.877810e+02	1.877810e+02
21            	0.000000e+00	6.353909e+02	5.771307e+02	2.885654e+02	2.885654e+02
22            	0.000000e+00	4.826455e+02	8.898232e+02	4.449116e+02	4.449116e+02
23            	0.000000e+00	1.100229e+02	1.143339e+03	5.716695e+02	5.716695e+02
24            	0.000000e+00	-2.194215e+02	1.126688e+03	5.633441e+02	5.633441e+02
25            	0.000000e+00	-2.424116e+02	8.928660e+02	4.464330e+02	4.464330e+02
26            	0.000000e+00	-2.490160e+01	6.226903e+02	3.113451e+02	3.113451e+02
27            	0.000000e+00	2.307108e+02	4.768540e+02	2.384270e+02	2.384270e+02
28            	0.000000e+00	3.533247e+02	5.729403e+02	2.864701e+02	2.864701e+02
29            	0.000000e+00	2.690029e+02	8.159207e+02	4.079603e+02	4.079603e+02
30            	0.000000e+00	8.808825e+01	1.045487e+03	5.227437e+02	5.227437e+02
31            	0.000000e+00	-5.218061e+01	1.128505e+03	5.642524e+02	5.642524e+02
32            	0.000000e+00	-5.490040e+01	1.051204e+03	5.256019e+02	5.256019e+02
33            	0.000000e+00	4.367518e+01	8.726914e+02	4.363457e+02	4.363457e+02
34            	0.000000e+00	1.704215e+02	7.111962e+02	3.555981e+02	3.555981e+02
35            	0.000000e+00	2.220618e+02	6.923325e+02	3.461663e+02	3.461663e+02
36            	0.000000e+00	1.786716e+02	7.996668e+02	3.998334e+02	3.998334e+02
37            	0.000000e+00	9.128627e+01	9.498647e+02	4.749323e+02	4.749323e+02
38            	0.000000e+00	2.797780e+01	1.044575e+03	5.222877e+02	5.222877e+02
39            	0.000000e+00	2.764698e+01	1.038523e+03	5.192613e+02	5.192613e+02
40            	0.000000e+00	7.672326e+01	9.673243e+02	4.836622e+02	4.836622e+02
41            	0.000000e+00	1.328983e+02	8.934465e+02	4.467232e+02	4.467232e+02
42            	0.000000e+00	1.537536e+02	8.719164e+02	4.359582e+02	4.359582e+02
43            	0.000000e+00	1.341259e+02	9.021426e+02	4.510713e+02	4.510713e+02
44            	0.000000e+00	9.652623e+01	9.621689e+02	4.810844e+02	4.810844e+02
45            	0.000000e+00	7.064975e+01	1.006988e+03	5.034938e+02	5.034938e+02
46            	0.000000e+00	7.146626e+01	1.016989e+03	5.084947e+02	5.084947e+02
47            	0.000000e+00	9.046337e+01	1.002381e+03	5.011906e+02	5.011906e+02
48            	0.000000e+00	1.120767e+02	9.806736e+02	4.903368e+02	4.903368e+02
49            	0.000000e+00	1.183404e+02	9.736548e+02	4.868274e+02	4.868274e+02
